vaccine_time,vaccine_amount,A1-R1,A1-R2,A2-R1,A2-R2,A3-R1,A3-R2,A4-R1,A4-R2,A5-R1,A5-R2
2/27/22,0.000501401,0,0,340.9701782,50.52982175,1025.429309,189.5706911,360.0788369,158.3211631,116.2022182,91.69778178
2/28/22,0.000404293,0,0,279.0468585,41.35314148,684.3791165,126.5208835,333.1979516,146.5020484,150.9119717,119.0880284
3/1/22,0.000497919,0,0,235.9356865,34.96431344,1004.161145,185.6388545,355.077742,156.122258,192.6642839,152.0357162
3/2/22,0.000615918,0,0,191.2568356,28.34316438,1310.270783,242.2292164,471.9783366,207.5216634,231.3983566,182.6016434
3/3/22,0.001934803,0,0,988.4215971,146.4784028,3519.121473,650.5785273,1568.468406,689.6315939,804.3608091,634.7391909
3/4/22,0.00061379,0,0,171.6608484,25.43915164,1282.926002,237.173998,475.1040209,208.8959791,254.0351524,200.4648476
3/5/22,0.000502561,0,0,214.7720203,31.82797967,1065.686904,197.013096,345.7006889,151.9993111,185.1186853,146.0813147
3/6/22,0.00046484,0,0,350.3762521,51.92374787,859.841465,158.9585351,343.2001415,150.8998586,138.335974,109.164026
3/7/22,0.000219363,0,0,166.9578115,24.74218859,426.1228462,78.77715386,159.4099018,70.09009823,52.81919009,41.68080991
3/8/22,0.000401005,0,0,184.2022802,27.29771979,746.6644524,138.0355476,259.4318009,114.0681991,221.3375585,174.6624416
3/9/22,0.000437565,0,0,170.0931694,25.20683062,907.6948326,167.8051673,334.4482253,147.0517747,158.4575703,125.0424297
3/10/22,0,0,0,0,0,0,0,0,0,0,0
3/11/22,0.00077396,0,0,310.4004381,45.99956187,1433.322301,264.9776993,547.6198979,240.7801021,423.5596006,334.2403994
3/12/22,0.000461358,0,0,171.6608484,25.43915164,807.4306337,149.2693664,481.3553897,211.6446103,167.5122886,132.1877114
3/13/22,0.000406421,0,0,238.287205,35.31279497,824.9009108,152.4990893,351.3269208,154.4730792,74.95294594,59.14705406
3/14/22,0.000240641,0,0,163.038614,24.16138603,500.5614182,92.53858176,170.0372286,74.76277144,52.81919009,41.68080991
3/15/22,0.000492309,0,0,183.4184408,27.18155929,910.7331417,168.3668582,434.4701244,191.0298756,209.7676407,165.5323593
3/16/22,0.000412224,0,0,159.9032561,23.696744,757.298534,140.001466,297.56515,130.83485,228.3801171,180.2198829
3/17/22,0.000527515,0,0,96.41225727,14.2877427,1326.221906,245.1780938,358.2034263,157.4965737,143.3663731,113.1336269
3/18/22,0.000454781,0,0,170.8770089,25.32299113,872.7542785,161.3457215,331.9476778,145.9523222,227.8770773,179.8229228
3/19/22,0.000551309,0,0,228.0972917,33.80270835,870.4755467,160.9244533,348.2012364,153.0987636,430.6021592,339.7978408
3/20/22,0.000453427,0,0,277.4791796,41.12082046,877.3117421,162.188258,342.5750046,150.6249954,144.3724529,113.9275471
3/21/22,0.000276041,0,0,145.0103057,21.48969431,550.6935178,101.8064822,233.1760524,102.5239476,72.43774641,57.16225359
3/22/22,0.000535253,0,0,242.9902419,36.00975803,1063.408172,196.5918278,398.212186,175.087814,211.2767604,166.7232396
3/23/22,0.000552276,0,0,161.470935,23.92906501,1060.369863,196.0301369,453.8493674,199.5506326,265.1020303,209.1979697
3/24/22,0.000418608,0,0,235.9356865,34.96431344,978.3355185,180.8644816,202.5443458,89.05565421,126.2630163,99.63698373
3/25/22,0.00050082,0,0,169.3093299,25.09067012,1004.161145,185.6388545,405.0886916,178.1113084,202.725082,159.974918
3/26/22,0.000518617,0,0,203.7982675,30.20173254,1017.073959,188.0260411,418.8417027,184.1582973,207.2524411,163.5475589
3/27/22,0.000289389,0,0,181.8507617,26.94923826,550.6935178,101.8064822,222.5487256,97.85127438,92.05630272,72.64369727
3/28/22,0.000206983,0,0,116.0082446,17.19175545,422.3249599,78.07504019,156.9093543,68.9906457,57.84958914,45.65041086
3/29/22,0.000240061,0,0,117.5759235,17.42407646,454.227205,83.97279501,188.1661978,82.73380222,96.58366191,76.21633813
3/30/22,0.000368313,0,0,129.3335159,19.16648411,622.0937807,115.0062193,316.9443929,139.3556071,207.7554811,163.9445189
3/31/22,0.000280684,0,0,246.1255999,36.47440007,516.5125408,95.48745921,200.6689352,88.23106482,68.41342716,53.98657284
4/1/22,0.000499273,0,0,271.2084637,40.19153639,815.0264063,150.6735937,374.4569849,164.6430151,283.2114668,223.4885332
4/2/22,0.000598702,0,0,255.5316738,37.86832618,799.0752837,147.7247163,383.2089011,168.4910989,555.3560558,438.2439442
4/3/22,0.000315697,0,0,134.0365528,19.86344717,497.5231091,91.97689086,263.1826221,115.7173779,193.6703637,152.8296363
4/4/22,0.000163071,0,0,79.95162801,11.84837199,253.6988068,46.9011932,140.0306588,61.56934118,92.05630272,72.64369727
4/5/22,0.000525001,0,0,608.2594444,90.14055561,611.459699,113.040301,345.0755521,151.7244479,292.2661851,230.6338149
4/6/22,0.000311634,0,0,82.30314648,12.19685352,494.4848,91.41519996,258.1815272,113.5184729,222.3436383,175.4563617
4/7/22,0.000161524,0,0,123.0628,18.23720003,243.8243024,45.07569766,93.14539362,40.95460642,104.6323004,82.56769963
4/8/22,0.000485538,0,0,76.81627004,11.38372996,1122.655199,207.5448011,238.8022843,104.9977157,277.6780279,219.1219721
4/9/22,0.000317051,0,0,99.54761526,14.75238474,448.1505869,82.84941314,248.1793373,109.1206627,264.0959504,208.4040496
4/10/22,0.000257664,0,0,125.4143184,18.58568156,397.25891,73.44108995,210.0459883,92.35401174,157.4514905,124.2485096
4/11/22,0.000182029,0,0,85.43850443,12.66149557,280.2840111,51.8159889,153.1585331,67.34146692,109.6626994,86.53730058
4/12/22,0.00055363,0,0,110.5213681,16.37863187,890.2245556,164.5754444,481.9805266,211.9194734,391.3650465,308.8349535
4/13/22,0.000467162,0,0,139.5234293,20.67657074,989.7291774,182.9708226,282.5618651,124.2381349,242.4652345,191.3347655
4/14/22,0.000196924,0,0,0,0,677.5429211,125.2570789,24.38033792,10.71966209,43.76447179,34.53552821
4/15/22,0.00057781,0,0,133.2527134,19.74728666,987.4504458,182.5495544,523.8646969,230.3353031,341.5640959,269.5359041
4/16/22,0.000286874,0,0,168.5254904,24.9745096,385.1056738,71.19432621,253.1804323,111.3195677,179.0822064,141.3177936
4/17/22,0.000176032,0,0,76.03243055,11.26756945,274.207393,50.69260703,160.6601755,70.63982448,98.09278155,77.40721841
4/18/22,0.000126511,0,0,76.03243055,11.26756945,211.9220572,39.17794282,91.89511983,40.40488015,65.89822764,52.00177236
4/19/22,0.000304477,0,0,124.6304789,18.46952105,381.3077875,70.49221254,251.3050216,110.4949784,257.0533917,202.8466083
4/20/22,1.37E-05,0,0,0,0,9.874504458,1.825495544,5.626231827,2.473768173,24.64895537,19.45104463
4/21/22,4.84E-05,0,0,30.56974012,4.530259881,0,0,76.2666981,33.5333019,44.7705516,35.3294484
4/22/22,0.000425958,0,0,86.22234392,12.77765608,710.9643209,131.4356792,365.0799319,160.5200681,287.738826,227.061174
4/23/22,0.000808006,0,0,78.38394902,11.61605098,2160.997322,399.5026786,385.0843118,169.3156883,309.8725818,244.5274182
4/24/22,0.0002625,0,0,72.1132331,10.6867669,319.782029,59.11797108,261.3072116,114.8927884,214.2949998,169.1050002
4/25/22,9.94E-05,0,0,28.21822165,4.181778352,158.7516485,29.34835143,94.39566732,41.50433267,59.35870886,46.84129114
4/26/22,0.000725019,0,0,80.73546749,11.96453251,1718.163776,317.6362247,346.3258258,152.2741742,417.0200818,329.0799182
4/27/22,0.000500627,0,0,87.79002291,13.00997709,557.5297131,103.0702869,405.0886916,178.1113084,550.3256567,434.2743433
4/28/22,0.000551696,0,0,159.9032561,23.696744,756.5389568,139.8610432,560.1226352,246.2773648,380.2981686,300.1018314
4/29/22,0.000399264,0,0,90.9253809,13.47461914,585.634072,108.265928,393.8362279,173.1637721,275.1628284,217.1371716
4/30/22,0.00066099,0,0,187.3376382,27.76236184,1353.566687,250.2333122,559.4974984,246.0025016,252.0229928,198.8770073
5/1/22,0.000170809,0,0,49.38188789,7.318112116,254.458384,47.04161594,150.6579856,66.2420144,122.7417369,96.85826307
5/2/22,0.000158622,0,0,79.95162801,11.84837199,215.7199435,39.88005649,115.025184,50.57481597,125.7599764,99.24002361
5/3/22,0.000419188,0,0,102.6829733,15.21702678,764.8943067,141.4056933,410.0897866,180.3102134,187.6338848,148.0661152
5/4/22,0.000716314,0,0,72.89707259,10.80292741,1118.097735,206.7022647,592.0046156,260.2953844,599.1205276,472.7794724
5/5/22,0.000930648,0,0,80.73546749,11.96453251,1664.993367,307.8066333,1127.121776,495.5782239,358.6674527,283.0325473
5/6/22,0.001451973,0,0,99.54761526,14.75238474,2545.343418,470.5565821,1406.557957,618.4420431,894.4049522,705.7950478
5/7/22,0.00099371,0,0,144.2264662,21.3735338,1639.927317,303.172683,978.9643377,430.435662,617.7330041,487.466996
5/8/22,0.000223425,0,0,106.6021707,15.79782933,359.2800467,66.41995325,176.2885973,77.51140274,132.8025351,104.7974649
5/9/22,0.000146822,0,0,87.00618342,12.89381658,222.5561389,41.14386111,112.5246365,49.47536345,88.03198348,69.46801652
5/10/22,0.000912658,0,0,76.81627004,11.38372996,1434.841456,265.2585448,912.6998298,401.3001702,639.3637201,504.5362799
5/11/22,0.001271685,0,0,165.3901324,24.50986756,2173.910135,401.8898651,1528.459646,672.0403536,531.2101403,419.1898597
5/12/22,0.00036251,0,0,138.7395897,20.56041023,791.479511,146.320489,409.4646496,180.0353504,0,0
5/13/22,0.000444142,0,0,119.1436025,17.65639749,788.441202,145.758798,364.4547951,160.2452049,263.0898707,207.6101294
5/14/22,0.000479155,0,0,94.84457832,14.05542168,714.7622072,132.1377928,411.9651971,181.1348029,380.2981686,300.1018314
5/15/22,0.000211045,0,0,105.0344917,15.56550831,337.2523061,62.34769396,176.9137341,77.78626587,115.6991783,91.30082175
5/16/22,0.000209691,0,0,95.62841784,14.1715822,320.5416062,59.25839381,204.4197564,89.88024361,107.1474999,84.55250011
5/17/22,0.000695616,0,0,92.49305985,13.70694015,1164.431948,215.2680514,667.02104,293.27896,441.6690371,348.5309629
5/18/22,0.000493083,0,0,101.8991337,15.10086627,780.085852,144.214148,475.1040209,208.8959791,317.9212204,250.8787796
5/19/22,0,0,0,0,0,0,0,0,0,0,0
