,date,admits
569,9/19/21,0
570,9/20/21,0
571,9/21/21,1292
572,9/22/21,840
573,9/23/21,975
574,9/24/21,657
575,9/25/21,625
576,9/26/21,-1
577,9/27/21,65
578,9/28/21,1017
579,9/29/21,658
580,9/30/21,681
581,10/1/21,615
582,10/2/21,445
583,10/3/21,0
584,10/4/21,52
585,10/5/21,971
586,10/6/21,526
587,10/7/21,346
588,10/8/21,491
589,10/9/21,346
590,10/10/21,0
591,10/11/21,30
592,10/12/21,669
593,10/13/21,667
594,10/14/21,588
595,10/15/21,356
596,10/16/21,390
597,10/17/21,0
598,10/18/21,32
599,10/19/21,625
600,10/20/21,279
601,10/21/21,285
602,10/22/21,403
603,10/23/21,165
604,10/24/21,0
605,10/25/21,21
606,10/26/21,572
607,10/27/21,301
608,10/28/21,230
609,10/29/21,274
610,10/30/21,285
611,10/31/21,0
612,11/1/21,20
613,11/2/21,291
614,11/3/21,336
615,11/4/21,201
616,11/5/21,220
617,11/6/21,149
618,11/7/21,0
619,11/8/21,11
620,11/9/21,374
621,11/10/21,465
622,11/11/21,240
623,11/12/21,95
624,11/13/21,145
625,11/14/21,14
626,11/15/21,0
627,11/16/21,507
628,11/17/21,307
629,11/18/21,308
630,11/19/21,185
631,11/20/21,152
632,11/21/21,0
633,11/22/21,23
634,11/23/21,404
635,11/24/21,364
636,11/25/21,218
637,11/26/21,0
638,11/27/21,0
639,11/28/21,0
640,11/29/21,60
641,11/30/21,393
642,12/1/21,225
643,12/2/21,215
644,12/3/21,246
645,12/4/21,254
646,12/5/21,367
647,12/6/21,198
648,12/7/21,217
649,12/8/21,197
650,12/9/21,218
651,12/10/21,251
652,12/11/21,235
653,12/12/21,171
654,12/13/21,231
655,12/14/21,252
656,12/15/21,252
657,12/16/21,320
658,12/17/21,408
659,12/18/21,532
660,12/19/21,444
661,12/20/21,694
662,12/21/21,612
663,12/22/21,721
664,12/23/21,1248
665,12/24/21,744
666,12/25/21,1699
667,12/26/21,1161
668,12/27/21,1458
669,12/28/21,843
670,12/29/21,1187
671,12/30/21,687
672,12/31/21,908
673,1/1/22,5833
674,1/2/22,4269
675,1/3/22,4951
676,1/4/22,3823
677,1/5/22,3978
678,1/6/22,2972
679,1/7/22,4390
680,1/8/22,3777
681,1/9/22,2801
682,1/10/22,4154
683,1/11/22,2968
684,1/12/22,3593
685,1/13/22,5486
686,1/14/22,3581
687,1/15/22,3467
688,1/16/22,2291
689,1/17/22,4761
690,1/18/22,3545
691,1/19/22,4289
692,1/20/22,3664
693,1/21/22,5776
694,1/22/22,4256
695,1/23/22,4479
696,1/24/22,2379
697,1/25/22,2766
698,1/26/22,2035
699,1/27/22,3074
700,1/28/22,2183
701,1/29/22,2639
702,1/30/22,1943
703,1/31/22,1891
704,2/1/22,1712
705,2/2/22,1794
706,2/3/22,1471
707,2/4/22,1345
708,2/5/22,441
709,2/6/22,906
710,2/7/22,762
711,2/8/22,707
712,2/9/22,722
713,2/10/22,765
714,2/11/22,885
715,2/12/22,615
716,2/13/22,403
717,2/14/22,419
718,2/15/22,548
719,2/16/22,383
720,2/17/22,441
721,2/18/22,313
722,2/19/22,324
723,2/20/22,160
724,2/21/22,159
725,2/22/22,215
726,2/23/22,176
727,2/24/22,245
728,2/25/22,194
729,2/26/22,198
730,2/27/22,85
731,2/28/22,174
732,3/1/22,179
733,3/2/22,128
734,3/3/22,135
735,3/4/22,170
736,3/5/22,97
737,3/6/22,53
738,3/7/22,169
739,3/8/22,87
740,3/9/22,132
741,3/10/22,117
742,3/11/22,87
743,3/12/22,74
744,3/13/22,54
745,3/14/22,58
746,3/15/22,104
747,3/16/22,83
748,3/17/22,74
749,3/18/22,38
750,3/19/22,9
751,3/20/22,123
752,3/21/22,57
753,3/22/22,66
754,3/23/22,250
755,3/24/22,185
756,3/25/22,181
757,3/26/22,153
758,3/27/22,83
759,3/28/22,88
760,3/29/22,181
761,3/30/22,142
762,3/31/22,167
763,4/1/22,164
764,4/2/22,242
765,4/3/22,113
766,4/4/22,84
